DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationType,MonitoringLocationWaterbody,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Goose Island Channel,58.669596,-110.870285,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2012-07-25,,,,,,Probe/Sensor,Specific conductance,,,198.2,uS/cm,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Goose Island Channel,58.669596,-110.870285,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2012-07-25,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,7.35,mg/l,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Goose Island Channel,58.669596,-110.870285,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2012-07-25,,,,,,Probe/Sensor,Dissolved oxygen saturation,,,84.87,%,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Goose Island Channel,58.669596,-110.870285,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2012-07-25,,,,,,Probe/Sensor,Oxidation reduction potential (ORP),,,91.47,mV,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Goose Island Channel,58.669596,-110.870285,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2012-07-25,,,,,,Probe/Sensor,pH,,,7.92,None,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Goose Island Channel,58.669596,-110.870285,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2012-07-25,,,,,,Probe/Sensor,Salinity,,,0.1,ppt,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Goose Island Channel,58.669596,-110.870285,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2012-07-25,,,,,,Probe/Sensor,"Temperature, water",,,21.9,deg C,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Keane Creek,58.4746929,-110.8225329,NAD27,River/Stream,Keane Creek,Field Msr/Obs-Portable Data Logger,Surface water,2012-07-25,,,,,,Probe/Sensor,Specific conductance,,,107.2,uS/cm,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Keane Creek,58.4746929,-110.8225329,NAD27,River/Stream,Keane Creek,Field Msr/Obs-Portable Data Logger,Surface water,2012-07-25,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,5.53,mg/l,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Keane Creek,58.4746929,-110.8225329,NAD27,River/Stream,Keane Creek,Field Msr/Obs-Portable Data Logger,Surface water,2012-07-25,,,,,,Probe/Sensor,Dissolved oxygen saturation,,,66.07,%,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Keane Creek,58.4746929,-110.8225329,NAD27,River/Stream,Keane Creek,Field Msr/Obs-Portable Data Logger,Surface water,2012-07-25,,,,,,Probe/Sensor,Oxidation reduction potential (ORP),,,104.7,mV,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Keane Creek,58.4746929,-110.8225329,NAD27,River/Stream,Keane Creek,Field Msr/Obs-Portable Data Logger,Surface water,2012-07-25,,,,,,Probe/Sensor,pH,,,7.17,None,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Keane Creek,58.4746929,-110.8225329,NAD27,River/Stream,Keane Creek,Field Msr/Obs-Portable Data Logger,Surface water,2012-07-25,,,,,,Probe/Sensor,Salinity,,,0.05,ppt,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Keane Creek,58.4746929,-110.8225329,NAD27,River/Stream,Keane Creek,Field Msr/Obs-Portable Data Logger,Surface water,2012-07-25,,,,,,Probe/Sensor,"Temperature, water",,,23.33,deg C,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Embarras River Mouth,58.6776524,-111.0468576,NAD27,River/Stream,Embarras River,Field Msr/Obs-Portable Data Logger,Surface water,2012-07-26,,,,,,Probe/Sensor,Specific conductance,,,203.4,uS/cm,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Embarras River Mouth,58.6776524,-111.0468576,NAD27,River/Stream,Embarras River,Field Msr/Obs-Portable Data Logger,Surface water,2012-07-26,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,7.51,mg/l,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Embarras River Mouth,58.6776524,-111.0468576,NAD27,River/Stream,Embarras River,Field Msr/Obs-Portable Data Logger,Surface water,2012-07-26,,,,,,Probe/Sensor,Dissolved oxygen saturation,,,85.97,%,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Embarras River Mouth,58.6776524,-111.0468576,NAD27,River/Stream,Embarras River,Field Msr/Obs-Portable Data Logger,Surface water,2012-07-26,,,,,,Probe/Sensor,Oxidation reduction potential (ORP),,,38.17,mV,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Embarras River Mouth,58.6776524,-111.0468576,NAD27,River/Stream,Embarras River,Field Msr/Obs-Portable Data Logger,Surface water,2012-07-26,,,,,,Probe/Sensor,pH,,,7.96,None,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Embarras River Mouth,58.6776524,-111.0468576,NAD27,River/Stream,Embarras River,Field Msr/Obs-Portable Data Logger,Surface water,2012-07-26,,,,,,Probe/Sensor,Salinity,,,0.1,ppt,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Embarras River Mouth,58.6776524,-111.0468576,NAD27,River/Stream,Embarras River,Field Msr/Obs-Portable Data Logger,Surface water,2012-07-26,,,,,,Probe/Sensor,"Temperature, water",,,22,deg C,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson River,58.42410075,-111.2429624,NAD27,River/Stream,Richardson River,Field Msr/Obs-Portable Data Logger,Surface water,2012-07-26,,,,,,Probe/Sensor,Specific conductance,,,142.3,uS/cm,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson River,58.42410075,-111.2429624,NAD27,River/Stream,Richardson River,Field Msr/Obs-Portable Data Logger,Surface water,2012-07-26,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,8.6,mg/l,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson River,58.42410075,-111.2429624,NAD27,River/Stream,Richardson River,Field Msr/Obs-Portable Data Logger,Surface water,2012-07-26,,,,,,Probe/Sensor,Dissolved oxygen saturation,,,104.43,%,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson River,58.42410075,-111.2429624,NAD27,River/Stream,Richardson River,Field Msr/Obs-Portable Data Logger,Surface water,2012-07-26,,,,,,Probe/Sensor,Oxidation reduction potential (ORP),,,24.5,mV,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson River,58.42410075,-111.2429624,NAD27,River/Stream,Richardson River,Field Msr/Obs-Portable Data Logger,Surface water,2012-07-26,,,,,,Probe/Sensor,pH,,,7.84,None,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson River,58.42410075,-111.2429624,NAD27,River/Stream,Richardson River,Field Msr/Obs-Portable Data Logger,Surface water,2012-07-26,,,,,,Probe/Sensor,Salinity,,,0.07,ppt,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson River,58.42410075,-111.2429624,NAD27,River/Stream,Richardson River,Field Msr/Obs-Portable Data Logger,Surface water,2012-07-26,,,,,,Probe/Sensor,"Temperature, water",,,22.6,deg C,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Embarras River Mouth,58.6776524,-111.0468576,NAD27,River/Stream,Embarras River,Field Msr/Obs-Portable Data Logger,Surface water,2012-07-31,,,,,,Probe/Sensor,Specific conductance,,,221.07,uS/cm,,,,,,Average of entire water column (3 measures),,,,,,,,
